city,country,x1,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x28,x29,x33,x34,x35,x36,x38,x39,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,weekly_groceries,latitude,longitude
Liverpool,United Kingdom,18.02,1.07,1.17,1.73,2.38,8.29,6.62,9.94,2.52,1.33,2.42,2.86,1.23,1.12,0.93,1.25,8.41,2.24,2.47,2.94,83.56,1.87,28828.24,28162.59,213.91,37.15,33.83,66.73,40.57,81.77,71.83,900.15,653.14,1754.58,1076.05,4727.49,2314.2,2210.36,3.42,73.52999999999999,53.4071991,-2.99168
Toulouse,France,16.88,1.09,1.73,1.45,3.08,16.88,10.89,19.94,3.13,2.21,3.12,3.75,1.61,1.65,1.19,0.82,6.23,1.74,2.67,1.77,56.09,2.07,22851.33,25664.46,182.4,33.58,34.28,90.76,42.14,72.06,112.77,694.2,549.21,1483.85,1011.88,4418.62,3142.06,2683.01,1.17,97.38999999999999,43.6044622,1.4442469
Edinburgh,United Kingdom,18.02,1.16,1.25,1.34,2.42,7.27,6.77,10.28,2.4,1.13,2.42,2.57,1.22,0.93,0.79,1.25,8.41,1.84,2.24,2.16,72.07,1.92,24624.12,23999.36,200.72,33.57,36.74,72.93,42.31,77.33,86.66,1121.19,877.43,2177.13,1328.5,4860.99,3860.93,2696.88,2.31,71.47,55.9533456,-3.1883749
Leicester,United Kingdom,16.22,1.12,1.1,1.53,2.58,7.67,5.9,10.78,1.56,1.22,1.74,2.17,1.08,0.98,0.77,1.09,7.51,2.47,1.98,2.76,64.86,1.88,24023.53,29148.55,220.46,36.64,32.77,68.3,42.04,69.07,54.8,900.88,686.17,1415.39,1081.06,3002.94,2282.24,2577.24,3.08,67.49000000000001,52.6362,-1.1331969
Murcia,Spain,12.46,0.9,1.05,0.97,1.91,8.85,6.09,9.23,1.23,1.56,1.09,1.79,1.14,1.94,0.91,0.53,6.23,0.87,1.33,1.45,25.97,1.66,24409.37,21120.17,127.35,32.45,34.93,76.17,30.51,70.48,81.8,629.71,640.53,1506.11,1389.26,2098.17,1714.54,1323.04,2.35,58.75000000000001,37.9923795,-1.1305431
Zurich,Switzerland,26.42,1.77,3.16,3.42,6.05,27.07,28.41,51.81,3.94,2.95,3.2,4.62,2.53,2.4,2.41,1.36,13.74,2.09,2.88,4.65,95.11,2.23,32918.44,32405.28,249.39,51.77,89.99,98.53,49.43,113.58,179.24,2037.85,1605.72,3904.22,2860.79,18247.34,10867.4,6570.44,1.39,187.35000000000002,47.3744489,8.5410422
Bologna,Italy,17.66,1.18,1.98,2.37,3.49,14.24,9.93,16.54,1.93,1.76,2.17,2.64,1.38,1.27,1.05,0.42,6.23,1.86,2.28,1.56,36.87,2.04,24928.72,27629.33,226.17,29.41,54.5,77.9,28.12,81.57,112.66,792.61,609.67,1511.58,1137.37,4143.25,2827.56,1588.64,2.08,88.10000000000001,44.4939334,11.3425798
Florence,Italy,15.58,1.36,1.82,2.43,3.62,16.36,9.92,19.04,2.7,1.98,2.39,2.44,1.55,1.43,1.37,0.61,6.02,1.52,2.0,1.56,36.35,2.09,28044.81,26863.29,223.83,30.47,56.48,75.18,38.66,87.51,113.53,842.5,642.69,1713.85,1149.06,5546.64,3488.29,1471.05,1.71,92.14,43.7698712,11.2555757
Coventry,United Kingdom,12.01,1.04,1.02,1.45,2.12,7.37,6.48,9.98,2.56,1.32,1.95,2.58,1.33,1.14,0.84,1.0,9.01,1.71,1.78,2.76,60.06,1.88,23903.42,25905.38,304.73,39.64,36.04,59.82,32.43,61.66,55.25,986.47,725.38,1105.08,1146.12,3478.61,3123.06,3423.35,4.23,64.91,52.4081812,-1.510477
Bochum,Germany,12.98,0.96,1.38,2.07,2.43,11.89,6.04,10.73,2.46,1.65,1.93,0.93,0.72,1.14,1.07,0.79,5.18,0.73,2.01,2.96,83.1,2.29,12464.36,18696.54,211.69,30.9,21.81,57.13,53.23,93.48,124.64,545.32,415.48,1142.57,934.83,2077.39,1869.65,1661.91,1.73,65.08,51.4818111,7.2196635
Bilbao,Spain,13.24,0.89,1.51,1.3,2.6,17.03,8.41,13.76,2.02,1.87,1.71,2.55,1.16,1.64,1.06,0.88,4.67,0.92,1.83,1.25,41.55,1.7,20773.93,23526.48,130.16,34.62,48.23,96.15,33.76,85.32,118.71,941.32,804.99,1402.24,1133.91,3921.08,2907.94,1921.45,2.12,77.22,43.2630018,-2.9350039
